,,,,,,,
16180,35.00,1,26/10/2010,,,,
16186,85.62,6,10/11/2010,,,,
16188,17.70,1,21/02/2010,,,,
16191,310.56,2,17/11/2010,,,,
16193,30.00,1,16/06/2010,,,,
16197,67.74,2,05/07/2010,,,,
16198,96.00,1,11/10/2010,,,,
16199,76.50,1,03/10/2010,,,,
16200,136.06,6,14/10/2010,,,,
16202,98.10,4,06/12/2010,,,,
16205,28.30,3,08/09/2010,,,,
16206,42.90,2,06/08/2010,,,,
16208,28.55,3,29/11/2010,,,,
16210,214.72,4,23/11/2010,,,,
16214,17.70,1,27/10/2010,,,,
16218,55.65,2,22/11/2010,,,,
16221,4.95,1,20/04/2010,,,,
16223,23.10,1,30/04/2010,,,,
16225,15.00,1,17/11/2010,,,,
16226,22.50,1,17/08/2010,,,,
16228,97.71,1,26/02/2010,,,,
16229,35.00,3,02/11/2010,,,,
16232,13.52,1,14/09/2010,,,,
16233,22.95,2,14/02/2010,,,,
16234,19.80,1,18/05/2010,,,,
16239,89.20,2,02/11/2010,,,,
16241,32.40,2,21/11/2010,,,,
16242,87.96,4,17/11/2010,,,,
16251,1.25,1,16/11/2010,,,,
16252,4.95,2,01/02/2010,,,,
16253,19.80,1,28/09/2010,,,,
16254,14.98,1,18/11/2010,,,,
16255,9.50,3,17/10/2010,,,,
16256,73.75,1,20/09/2010,,,,
16258,60.90,2,01/12/2010,,,,
16259,1.25,1,28/03/2010,,,,
16261,1.95,1,11/04/2010,,,,
16266,30.05,3,30/07/2010,,,,
16269,34.65,1,09/03/2010,,,,
16271,30.60,1,24/11/2010,,,,
16273,12.70,1,27/05/2010,,,,
16274,8.79,1,08/04/2010,,,,
16275,12.60,1,27/01/2010,,,,
16277,12.75,1,03/12/2009,,,,
16279,146.02,3,29/08/2010,,,,
16283,18.25,3,09/12/2010,,,,
16287,39.60,1,21/02/2010,,,,
16290,7.49,1,26/08/2010,,,,
16293,64.42,2,04/10/2010,,,,
16296,-6.30,2,16/11/2010,,,,
16300,23.44,3,09/11/2010,,,,
16303,30.00,1,21/05/2010,,,,
16307,75.90,1,27/10/2010,,,,
16314,79.80,2,21/07/2010,,,,
16316,185.11,4,29/11/2010,,,,
16320,95.70,3,20/10/2010,,,,
16323,34.20,1,18/10/2010,,,,
16325,91.74,4,02/12/2010,,,,
16326,9.60,2,27/05/2010,,,,
16327,139.05,7,06/12/2010,,,,
16328,30.00,1,30/05/2010,,,,
16329,3.75,1,03/12/2010,,,,
16331,222.00,1,29/04/2010,,,,
16332,1.25,1,22/10/2010,,,,
16335,35.15,4,02/11/2010,,,,
16340,15.05,2,02/11/2010,,,,
16341,112.80,2,15/10/2010,,,,
16343,16.10,1,15/09/2010,,,,
16345,10.95,1,02/06/2010,,,,
16347,56.08,2,29/11/2010,,,,
16348,16.25,1,14/11/2010,,,,
16350,15.90,1,05/03/2010,,,,
16351,51.00,2,21/10/2010,,,,
16353,75.00,1,08/02/2010,,,,
16354,19.20,2,23/11/2010,,,,
16356,5.90,1,11/04/2010,,,,
16359,8.85,1,28/11/2010,,,,
16365,102.39,2,26/11/2010,,,,
16367,7.56,1,10/11/2010,,,,
16369,64.50,2,23/11/2010,,,,
16372,7.20,1,01/11/2010,,,,
16373,11.80,1,14/11/2010,,,,
16374,30.69,2,15/10/2010,,,,
16382,29.95,1,29/03/2010,,,,
16383,10.10,2,30/09/2010,,,,
16384,10.20,1,22/06/2010,,,,
16385,10.29,2,05/12/2010,,,,
16386,7.65,1,12/11/2010,,,,
16387,2.50,1,01/10/2010,,,,
16391,5.80,2,16/11/2010,,,,
16392,5.05,1,18/10/2010,,,,
16393,42.87,8,19/10/2010,,,,
16395,10.29,7,08/12/2010,,,,
16400,20.80,3,21/10/2010,,,,
16401,26.75,3,04/11/2010,,,,
16402,18.65,1,23/06/2010,,,,
16406,27.05,2,01/11/2010,,,,
16408,2.90,1,28/10/2010,,,,
16409,84.85,7,09/11/2010,,,,
16411,7.35,2,27/10/2010,,,,
16412,11.45,2,03/12/2010,,,,
16414,14.80,1,05/11/2010,,,,
16416,36.30,3,03/11/2010,,,,
16419,5.95,1,04/11/2010,,,,
16420,42.00,1,18/10/2010,,,,
16422,342.18,5,06/12/2010,,,,
16424,62.90,1,26/11/2010,,,,
16428,10.25,2,02/08/2010,,,,
16435,12.75,1,31/08/2010,,,,
16436,7.50,1,15/03/2010,,,,
16437,30.00,1,21/01/2010,,,,
16439,15.30,1,03/09/2010,,,,
16440,7.50,1,15/07/2010,,,,
16441,9.90,1,23/11/2010,,,,
16442,7.46,2,01/06/2010,,,,
16444,15.65,5,23/11/2010,,,,
16445,1.30,1,08/11/2010,,,,
16447,14.98,1,09/03/2010,,,,
16455,31.90,2,08/10/2010,,,,
16456,52.45,4,26/11/2010,,,,
16458,19.50,1,16/07/2010,,,,
16461,12.10,2,16/09/2010,,,,
16465,13.20,1,12/10/2010,,,,
16466,35.30,2,17/11/2010,,,,
16468,59.40,1,21/09/2010,,,,
16469,9.65,1,24/06/2010,,,,
16470,36.00,3,04/11/2010,,,,
16471,15.00,1,15/11/2010,,,,
16477,30.00,1,22/10/2010,,,,
16485,117.03,3,06/12/2010,,,,
16491,13.60,1,06/12/2010,,,,
16493,20.88,1,30/03/2010,,,,
16497,72.35,3,16/11/2010,,,,
16499,63.00,3,16/11/2010,,,,
16501,31.40,1,27/10/2010,,,,
16507,2.55,1,19/01/2010,,,,
16508,7.49,1,25/07/2010,,,,
16510,34.70,3,11/10/2010,,,,
16511,43.90,2,31/10/2010,,,,
16515,8.25,1,01/12/2009,,,,
16518,15.00,1,22/11/2010,,,,
16520,20.90,2,09/09/2010,,,,
16523,116.40,2,30/09/2010,,,,
16524,2.10,1,17/09/2010,,,,
16525,708.60,8,29/11/2010,,,,
16529,7.50,1,26/11/2010,,,,
16531,25.20,1,16/11/2010,,,,
16535,4.25,1,16/12/2009,,,,
16539,50.70,2,01/04/2010,,,,
16541,5.45,1,09/09/2010,,,,
16543,17.40,1,20/09/2010,,,,
16544,-30.00,1,01/12/2010,,,,
16546,76.32,1,15/12/2009,,,,
16547,3.30,1,22/10/2010,,,,
16549,196.02,18,08/12/2010,,,,
16550,96.10,5,01/12/2010,,,,
16553,159.50,3,11/04/2010,,,,
16554,7.85,2,29/09/2010,,,,
16555,278.22,4,01/12/2010,,,,
16556,89.55,6,01/12/2010,,,,
16558,77.40,4,31/10/2010,,,,
16559,29.50,1,16/03/2010,,,,
16560,100.48,4,26/11/2010,,,,
16570,-3.75,1,13/12/2009,,,,
16571,42.60,1,23/11/2010,,,,
16574,43.05,2,02/11/2010,,,,
16578,19.80,1,03/12/2010,,,,
16579,10.20,1,21/09/2010,,,,
16584,6.75,2,21/07/2010,,,,
16585,11.90,1,16/11/2010,,,,
16588,43.10,1,31/10/2010,,,,
16592,95.68,4,06/12/2010,,,,
16595,44.90,4,08/11/2010,,,,
16600,10.20,1,14/11/2010,,,,
16601,39.20,2,08/10/2010,,,,
16606,25.50,1,27/04/2010,,,,
16607,45.30,3,30/11/2010,,,,
16608,19.25,2,31/10/2010,,,,
16611,42.00,2,20/06/2010,,,,
16612,56.40,3,27/07/2010,,,,
16614,14.98,1,28/04/2010,,,,
16615,20.28,1,31/01/2010,,,,
16619,30.90,2,19/11/2010,,,,
16620,35.15,1,26/09/2010,,,,
16631,15.60,1,16/12/2009,,,,
16632,8.50,1,14/07/2010,,,,
16634,61.20,3,20/10/2010,,,,
16636,81.60,1,02/12/2009,,,,
16638,22.50,1,27/01/2010,,,,
16641,12.60,1,17/09/2010,,,,
16643,17.70,1,06/09/2010,,,,
16645,12.60,1,18/06/2010,,,,
16649,15.90,1,16/12/2009,,,,
16650,40.50,2,28/01/2010,,,,
16652,523.94,5,30/11/2010,,,,
16655,105.36,5,03/12/2010,,,,
16656,19.80,1,31/08/2010,,,,
16658,1.25,1,12/05/2010,,,,
16661,3.25,1,15/06/2010,,,,
16668,15.00,1,02/12/2010,,,,
16670,75.90,3,03/12/2010,,,,
16673,5.10,1,04/12/2009,,,,
16677,43.65,2,30/11/2010,,,,
16681,35.40,1,25/07/2010,,,,
16684,"1,659.00",7,23/11/2010,,,,
16686,23.78,4,28/11/2010,,,,
16693,2.10,1,04/07/2010,,,,
16695,4.95,1,16/02/2010,,,,
16700,213.74,7,29/11/2010,,,,
16701,170.28,5,02/12/2010,,,,
16702,27.15,2,21/11/2010,,,,
16705,914.30,7,13/10/2010,,,,
16707,9.99,1,07/11/2010,,,,
16709,171.15,4,16/11/2010,,,,
16710,55.61,5,28/11/2010,,,,
16713,77.95,7,30/11/2010,,,,
16714,-15.00,1,02/11/2010,,,,
16717,87.30,3,01/12/2010,,,,
16719,42.00,3,01/12/2010,,,,
16720,17.20,2,26/11/2010,,,,
16722,143.46,4,08/11/2010,,,,
16723,18.15,2,29/10/2010,,,,
16724,10.20,1,04/03/2010,,,,
16725,11.05,3,01/12/2010,,,,
16726,2.50,1,11/12/2009,,,,
16727,1.74,1,16/12/2009,,,,
16731,1.45,1,16/07/2010,,,,
16732,55.08,3,26/11/2010,,,,
16735,138.10,4,05/12/2010,,,,
16736,58.80,2,10/09/2010,,,,
16739,88.80,1,04/10/2010,,,,
16742,13.90,1,04/06/2010,,,,
16743,15.40,3,07/07/2010,,,,
16746,371.50,11,09/12/2010,,,,
16748,39.00,1,06/06/2010,,,,
16749,10.20,1,15/03/2010,,,,
16754,"1,597.50",2,15/09/2010,,,,
16755,20.83,2,06/12/2010,,,,
16756,28.84,2,21/02/2010,,,,
16757,17.70,1,27/08/2010,,,,
16767,22.20,2,03/12/2010,,,,
16768,71.75,4,19/11/2010,,,,
16770,20.68,4,27/10/2010,,,,
16771,10.20,1,02/12/2009,,,,
16772,105.50,1,24/11/2010,,,,
16773,7.65,1,06/04/2010,,,,
16774,21.10,2,28/04/2010,,,,
16775,52.20,3,09/12/2010,,,,
16777,27.60,1,24/10/2010,,,,
16779,820.50,13,06/12/2010,,,,
16781,44.50,2,21/05/2010,,,,
16782,126.93,15,09/12/2010,,,,
16784,19.20,2,28/10/2010,,,,
16787,27.25,2,17/03/2010,,,,
16788,28.99,3,01/12/2010,,,,
16791,19.50,3,17/11/2010,,,,
16792,19.05,2,09/11/2010,,,,
16794,11.50,3,25/10/2010,,,,
16795,45.85,5,22/11/2010,,,,
16797,34.33,4,26/09/2010,,,,
16798,6.90,2,05/07/2010,,,,
16799,4.00,2,12/07/2010,,,,
16802,33.74,1,11/10/2010,,,,
16805,16.20,2,19/11/2010,,,,
16807,40.80,2,29/11/2010,,,,
16809,11.40,2,18/03/2010,,,,
16812,14.85,1,04/05/2010,,,,
16814,118.25,6,04/11/2010,,,,
16815,5.90,1,07/01/2010,,,,
16817,10.20,1,04/02/2010,,,,
16819,15.00,1,07/12/2010,,,,
16823,67.32,3,29/10/2010,,,,
16827,12.75,1,21/09/2010,,,,
16833,25.20,1,08/07/2010,,,,
16834,35.40,1,15/07/2010,,,,
16835,46.40,3,18/11/2010,,,,
16836,20.40,1,19/03/2010,,,,
16843,116.80,2,10/08/2010,,,,
16844,76.75,1,23/11/2010,,,,
16846,10.08,1,22/01/2010,,,,
16848,17.00,1,21/09/2010,,,,
16857,15.30,1,19/05/2010,,,,
16858,71.00,3,14/10/2010,,,,
16859,8.50,1,03/08/2010,,,,
16862,40.20,3,23/07/2010,,,,
16868,2.10,1,09/05/2010,,,,
16870,20.00,1,16/07/2010,,,,
16873,125.40,4,08/10/2010,,,,
16874,3.95,1,06/10/2010,,,,
16875,44.98,3,31/10/2010,,,,
16876,4.95,1,11/06/2010,,,,
16883,57.74,4,28/09/2010,,,,
16884,11.80,1,28/02/2010,,,,
16888,2.55,1,02/02/2010,,,,
16891,25.95,5,28/11/2010,,,,
16892,4.25,1,05/05/2010,,,,
16893,8.50,1,01/02/2010,,,,
16894,22.05,1,16/09/2010,,,,
16895,9.75,2,17/12/2009,,,,
16896,2.95,1,09/05/2010,,,,
16898,1.10,1,19/10/2010,,,,
16901,15.35,1,11/11/2010,,,,
16903,15.25,2,17/10/2010,,,,
16904,54.25,3,07/10/2010,,,,
16905,9.80,1,31/03/2010,,,,
16906,22.00,1,03/12/2010,,,,
16907,4.05,1,03/12/2010,,,,
16912,44.55,1,29/07/2010,,,,
16913,5.85,1,03/10/2010,,,,
16916,6.80,2,15/07/2010,,,,
16917,96.30,1,22/11/2010,,,,
16918,63.65,4,08/12/2010,,,,
16919,39.75,2,27/05/2010,,,,
16921,1.65,1,29/01/2010,,,,
16922,2.50,1,29/11/2010,,,,
16923,40.67,5,07/12/2010,,,,
16925,12.60,1,19/11/2010,,,,
16926,18.73,1,27/07/2010,,,,
16928,90.75,6,07/09/2010,,,,
16931,1.25,1,01/03/2010,,,,
16932,4.25,1,03/12/2010,,,,
16933,65.80,3,08/11/2010,,,,
16934,81.53,2,30/11/2010,,,,
16935,26.85,2,26/10/2010,,,,
16936,5.90,1,24/01/2010,,,,
16937,4.25,1,18/10/2010,,,,
16938,59.93,3,06/12/2010,,,,
16939,16.15,2,26/10/2010,,,,
16940,75.88,4,21/11/2010,,,,
16944,15.00,1,25/08/2010,,,,
16945,90.80,4,25/11/2010,,,,
16946,27.90,2,04/11/2010,,,,
16947,15.00,1,03/12/2009,,,,
16950,24.10,2,21/06/2010,,,,
16952,65.00,2,02/09/2010,,,,
16954,48.30,3,04/11/2010,,,,
16955,47.10,2,30/11/2010,,,,
16958,51.75,1,23/05/2010,,,,
16960,16.30,3,04/11/2010,,,,
16962,15.60,1,13/05/2010,,,,
16972,19.35,2,05/11/2010,,,,
16977,19.80,1,24/01/2010,,,,
16980,10.20,1,16/12/2009,,,,
16983,8.85,1,11/03/2010,,,,
16984,128.00,5,19/11/2010,,,,
16985,112.20,2,22/08/2010,,,,
16986,54.75,2,07/12/2010,,,,
16987,24.75,3,17/10/2010,,,,
16988,14.95,1,04/08/2010,,,,
16992,82.70,4,01/07/2010,,,,
16993,96.60,2,13/09/2010,,,,
16996,34.65,3,22/10/2010,,,,
17001,100.80,2,12/10/2010,,,,
17002,35.40,1,10/11/2010,,,,
17003,6.35,2,10/06/2010,,,,
17004,75.00,1,18/05/2010,,,,
17012,8.85,1,23/11/2010,,,,
17016,25.85,1,10/09/2010,,,,
17017,34.80,2,24/11/2010,,,,
17018,20.40,1,19/11/2010,,,,
17019,24.01,5,28/11/2010,,,,
17021,23.25,2,12/11/2010,,,,
17025,15.00,1,15/03/2010,,,,
17027,6.80,1,09/11/2010,,,,
17028,84.60,2,19/11/2010,,,,
17029,15.30,1,30/11/2010,,,,
17032,85.69,4,21/11/2010,,,,
17034,10.20,1,09/12/2010,,,,
17038,38.95,1,03/11/2010,,,,
17039,217.80,1,20/10/2010,,,,
17041,7.50,1,29/01/2010,,,,
17043,16.45,1,05/11/2010,,,,
17044,163.92,2,23/11/2010,,,,
17047,13.50,1,31/10/2010,,,,
17048,6.60,1,23/09/2010,,,,
17049,20.28,2,25/07/2010,,,,
17050,10.00,1,15/10/2010,,,,
17051,4.55,2,27/09/2010,,,,
17057,1.25,1,07/06/2010,,,,
17059,35.79,2,09/11/2010,,,,
17067,20.40,1,21/03/2010,,,,
17068,71.95,10,05/12/2010,,,,
17069,67.40,3,29/08/2010,,,,
17074,89.25,1,12/01/2010,,,,
17075,47.05,3,12/10/2010,,,,
17076,28.95,2,08/04/2010,,,,
17081,7.54,1,25/07/2010,,,,
17082,13.20,1,21/06/2010,,,,
17083,21.78,2,16/08/2010,,,,
17085,100.72,8,05/12/2010,,,,
17089,45.00,1,23/11/2010,,,,
17091,70.70,5,15/10/2010,,,,
17092,127.65,4,08/12/2010,,,,
17093,47.70,1,10/03/2010,,,,
17095,3.10,2,04/10/2010,,,,
17096,52.50,3,13/09/2010,,,,
17097,11.30,2,26/11/2010,,,,
17098,25.50,1,18/11/2010,,,,
17099,26.12,1,22/02/2010,,,,
17101,15.90,1,18/05/2010,,,,
17107,309.87,4,08/12/2010,,,,
17109,60.75,2,01/11/2010,,,,
17110,49.50,2,01/12/2010,,,,
17111,1.25,1,07/07/2010,,,,
17112,8.60,1,22/04/2010,,,,
17115,53.55,2,21/10/2010,,,,
17122,19.80,1,26/02/2010,,,,
17123,50.10,2,01/12/2010,,,,
17126,3.30,1,28/02/2010,,,,
17132,56.47,2,20/05/2010,,,,
17135,46.80,3,15/10/2010,,,,
17136,17.85,1,18/04/2010,,,,
17137,23.70,3,16/11/2010,,,,
17138,104.40,4,31/10/2010,,,,
17139,112.50,5,03/08/2010,,,,
17141,16.35,2,21/09/2010,,,,
17142,1.25,1,26/10/2010,,,,
17143,61.85,2,02/09/2010,,,,
17146,71.52,3,22/02/2010,,,,
17157,60.60,3,14/11/2010,,,,
17158,30.00,1,12/11/2010,,,,
17159,19.32,1,27/05/2010,,,,
17160,136.74,5,25/11/2010,,,,
17161,15.90,1,14/10/2010,,,,
17163,10.50,1,06/06/2010,,,,
17165,29.85,2,03/10/2010,,,,
17169,38.55,1,28/03/2010,,,,
17172,9.48,1,28/11/2010,,,,
17176,30.60,1,28/10/2010,,,,
17177,2.95,1,28/02/2010,,,,
17179,13.58,2,19/11/2010,,,,
17180,11.15,3,05/12/2010,,,,
17185,1.70,1,18/05/2010,,,,
17188,124.20,3,17/11/2010,,,,
17189,37.85,2,07/10/2010,,,,
17190,128.80,5,01/12/2010,,,,
17191,56.95,4,22/11/2010,,,,
17192,2.10,1,19/10/2010,,,,
17194,12.75,1,16/12/2009,,,,
17196,5.40,1,17/10/2010,,,,
17198,15.45,2,22/11/2010,,,,
17200,4.95,1,15/10/2010,,,,
17201,25.20,3,05/12/2010,,,,
17203,97.05,3,18/08/2010,,,,
17204,40.80,1,15/11/2010,,,,
17205,51.84,1,09/07/2010,,,,
17207,7.75,1,25/11/2010,,,,
17209,5.90,1,27/09/2010,,,,
17210,9.90,1,05/09/2010,,,,
17211,41.70,2,31/10/2010,,,,
17212,20.40,1,26/05/2010,,,,
17218,43.81,3,22/10/2010,,,,
17220,57.49,5,22/11/2010,,,,
17221,1.65,1,11/06/2010,,,,
17222,30.60,1,13/12/2009,,,,
17227,1.45,1,23/06/2010,,,,
17228,31.65,3,27/10/2010,,,,
17230,371.40,2,16/09/2010,,,,
17231,97.05,9,23/11/2010,,,,
17236,7.95,1,10/11/2010,,,,
17238,54.22,8,21/11/2010,,,,
17240,17.70,1,03/12/2009,,,,
17241,12.70,2,26/08/2010,,,,
17242,16.50,1,06/09/2010,,,,
17243,150.60,13,05/12/2010,,,,
17245,3.30,1,16/11/2010,,,,
17251,10.20,1,05/08/2010,,,,
17254,3.25,1,11/08/2010,,,,
17259,22.55,2,03/10/2010,,,,
17264,10.86,1,18/10/2010,,,,
17266,13.45,2,25/11/2010,,,,
17268,122.40,1,15/11/2010,,,,
17269,5.85,1,13/06/2010,,,,
17270,11.85,1,08/01/2010,,,,
17273,10.20,1,24/11/2010,,,,
17275,5.90,1,03/10/2010,,,,
17276,38.84,1,22/11/2010,,,,
17282,9.90,1,01/03/2010,,,,
17284,9.90,1,15/03/2010,,,,
17285,5.90,1,05/12/2010,,,,
17287,122.54,7,02/11/2010,,,,
17288,18.09,2,25/11/2010,,,,
17289,9.15,2,26/03/2010,,,,
17290,152.16,2,14/09/2010,,,,
17293,42.95,3,07/11/2010,,,,
17299,11.65,2,21/06/2010,,,,
17301,2.50,1,10/11/2010,,,,
17311,10.50,1,20/07/2010,,,,
17314,17.70,1,07/11/2010,,,,
17315,14.17,3,19/11/2010,,,,
17316,2.10,1,29/04/2010,,,,
17320,30.45,2,21/09/2010,,,,
17321,15.80,2,05/11/2010,,,,
17322,10.00,2,13/08/2010,,,,
17323,14.85,2,17/10/2010,,,,
17324,78.65,4,12/08/2010,,,,
17325,10.20,1,01/07/2010,,,,
17329,5.04,1,11/12/2009,,,,
17332,4.95,1,14/12/2009,,,,
17338,29.95,6,16/11/2010,,,,
17340,333.85,6,03/11/2010,,,,
17341,0.42,1,05/12/2010,,,,
17343,63.30,2,04/06/2010,,,,
17344,1.25,1,23/07/2010,,,,
17345,16.74,4,02/12/2010,,,,
17346,30.93,7,11/11/2010,,,,
17348,17.08,3,05/10/2010,,,,
17349,12.65,1,17/03/2010,,,,
17350,4.95,1,07/09/2010,,,,
17354,178.40,2,09/06/2010,,,,
17356,10.20,1,30/09/2010,,,,
17358,78.20,3,19/10/2010,,,,
17359,8.25,1,18/01/2010,,,,
17360,13.85,1,09/06/2010,,,,
17361,17.70,1,16/04/2010,,,,
17362,11.80,3,01/12/2010,,,,
17363,39.00,1,23/09/2010,,,,
17364,103.15,6,22/11/2010,,,,
17365,37.20,2,19/11/2010,,,,
17366,29.85,2,28/11/2010,,,,
17368,17.88,2,05/12/2010,,,,
17371,10.85,1,02/05/2010,,,,
17372,59.45,5,23/11/2010,,,,
17373,7.50,1,19/09/2010,,,,
17375,17.00,1,11/08/2010,,,,
17376,1.70,1,22/10/2010,,,,
17377,424.58,20,08/12/2010,,,,
17388,19.90,2,13/09/2010,,,,
17389,170.71,6,01/12/2010,,,,
17393,8.50,1,04/01/2010,,,,
17397,2.55,1,26/08/2010,,,,
17400,66.68,3,08/12/2010,,,,
17402,77.35,2,14/11/2010,,,,
17404,15.00,1,21/09/2010,,,,
17406,46.25,3,20/08/2010,,,,
17409,30.00,1,22/09/2010,,,,
17412,390.82,6,05/11/2010,,,,
17413,17.70,1,20/10/2010,,,,
17416,142.50,3,01/12/2010,,,,
17421,47.40,2,03/12/2010,,,,
17422,55.75,4,20/10/2010,,,,
17423,10.20,1,03/10/2010,,,,
17428,155.20,7,08/11/2010,,,,
17429,33.90,1,16/06/2010,,,,
17432,40.05,1,05/11/2010,,,,
17437,20.90,1,19/08/2010,,,,
